anio,periodo,grado,numero de grupos
2012,2,1,0
2012,2,2,15
2012,2,3,18
2012,2,4,12
2012,2,5,18
2012,2,6,0
2012,2,7,0
2012,2,8,0
2012,2,9,0
2013,1,1,2
2013,1,2,24
2013,1,3,19
2013,1,4,13
2013,1,5,14
2013,1,6,12
2013,1,7,18
2013,1,8,0
2013,1,9,0
2013,2,1,3
2013,2,2,19
2013,2,3,22
2013,2,4,17
2013,2,5,12
2013,2,6,12
2013,2,7,12
2013,2,8,10
2013,2,9,0
2014,1,1,1
2014,1,2,19
2014,1,3,18
2014,1,4,18
2014,1,5,12
2014,1,6,12
2014,1,7,13
2014,1,8,15
2014,1,9,2
2014,2,1,4
2014,2,2,19
2014,2,3,18
2014,2,4,18
2014,2,5,12
2014,2,6,12
2014,2,7,14
2014,2,8,15
2014,2,9,2
2015,1,1,2
2015,1,2,32
2015,1,3,18
2015,1,4,18
2015,1,5,17
2015,1,6,12
2015,1,7,12
2015,1,8,12
2015,1,9,7
2015,2,1,2
2015,2,2,14
2015,2,3,24
2015,2,4,17
2015,2,5,18
2015,2,6,14
2015,2,7,12
2015,2,8,11
2015,2,9,6
2016,1,1,1
2016,1,2,26
2016,1,3,14
2016,1,4,23
2016,1,5,16
2016,1,6,18
2016,1,7,12
2016,1,8,12
2016,1,9,5
2016,2,1,2
2016,2,2,22
2016,2,3,13
2016,2,4,22
2016,2,5,18
2016,2,6,14
2016,2,7,19
2016,2,8,13
2016,2,9,4
2017,1,1,2
2017,1,2,25
2017,1,3,15
2017,1,4,13
2017,1,5,12
2017,1,6,14
2017,1,7,12
2017,1,8,12
2017,1,9,6
2017,2,1,2
2017,2,2,24
2017,2,3,21
2017,2,4,12
2017,2,5,18
2017,2,6,12
2017,2,7,13
2017,2,8,11
2017,2,9,8
2018,1,1,2
2018,1,2,25
2018,1,3,19
2018,1,4,17
2018,1,5,12
2018,1,6,17
2018,1,7,10
2018,1,8,12
2018,1,9,8
2018,2,1,3
2018,2,2,20
2018,2,3,21
2018,2,4,16
2018,2,5,18
2018,2,6,12
2018,2,7,16
2018,2,8,15
2018,2,9,13
2019,1,1,4
2019,1,2,22
2019,1,3,18
2019,1,4,18
2019,1,5,12
2019,1,6,12
2019,1,7,10
2019,1,8,15
2019,1,9,11
2019,2,1,3
2019,2,2,21
2019,2,3,19
2019,2,4,18
2019,2,5,17
2019,2,6,12
2019,2,7,18
2019,2,8,15
2019,2,9,11
2020,1,1,4
2020,1,2,22
2020,1,3,18
2020,1,4,18
2020,1,5,12
2020,1,6,12
2020,1,7,13
2020,1,8,15
2020,1,9,11
2020,2,1,3
2020,2,2,24
2020,2,3,20
2020,2,4,19
2020,2,5,18
2020,2,6,12
2020,2,7,18
2020,2,8,17
2020,2,9,10
2021,1,1,3
2021,1,2,30
2021,1,3,19
2021,1,4,20
2021,1,5,18
2021,1,6,18
2021,1,7,12
2021,1,8,18
2021,1,9,11
2021,2,1,3
2021,2,2,23
2021,2,3,24
2021,2,4,18
2021,2,5,18
2021,2,6,12
2021,2,7,18
2021,2,8,14
2021,2,9,11
2022,1,1,6
2022,1,2,26
2022,1,3,23
2022,1,4,24
2022,1,5,18
2022,1,6,18
2022,1,7,18
2022,1,8,12
2022,1,9,16
2022,2,1,3
2022,2,2,21
2022,2,3,24
2022,2,4,18
2022,2,5,17
2022,2,6,22
2022,2,7,18
2022,2,8,11
2022,2,9,14
2023,1,1,3
2023,1,2,23
2023,1,3,20
2023,1,4,18
2023,1,5,14
2023,1,6,18
2023,1,7,17
2023,1,8,14
2023,1,9,10
