anio,grado,numero de grupos
2012,1.5,0
2012,2.5,15
2012,3.5,18
2012,4.5,12
2012,5.5,18
2012,6.5,0
2012,7.5,0
2012,8.5,0
2012,9.5,0
2013,1,2
2013,2,24
2013,3,19
2013,4,13
2013,5,14
2013,6,12
2013,7,18
2013,8,0
2013,9,0
2013,1.5,3
2013,2.5,19
2013,3.5,22
2013,4.5,17
2013,5.5,12
2013,6.5,12
2013,7.5,12
2013,8.5,10
2013,9.5,0
2014,1,1
2014,2,19
2014,3,18
2014,4,18
2014,5,12
2014,6,12
2014,7,13
2014,8,15
2014,9,2
2014,1.5,4
2014,2.5,19
2014,3.5,18
2014,4.5,18
2014,5.5,12
2014,6.5,12
2014,7.5,14
2014,8.5,15
2014,9.5,2
2015,1,2
2015,2,32
2015,3,18
2015,4,18
2015,5,17
2015,6,12
2015,7,12
2015,8,12
2015,9,7
2015,1.5,2
2015,2.5,14
2015,3.5,24
2015,4.5,17
2015,5.5,18
2015,6.5,14
2015,7.5,12
2015,8.5,11
2015,9.5,6
2016,1,1
2016,2,26
2016,3,14
2016,4,23
2016,5,16
2016,6,18
2016,7,12
2016,8,12
2016,9,5
2016,1.5,2
2016,2.5,22
2016,3.5,13
2016,4.5,22
2016,5.5,18
2016,6.5,14
2016,7.5,19
2016,8.5,13
2016,9.5,4
2017,1,2
2017,2,25
2017,3,15
2017,4,13
2017,5,12
2017,6,14
2017,7,12
2017,8,12
2017,9,6
2017,1.5,2
2017,2.5,24
2017,3.5,21
2017,4.5,12
2017,5.5,18
2017,6.5,12
2017,7.5,13
2017,8.5,11
2017,9.5,8
2018,1,2
2018,2,25
2018,3,19
2018,4,17
2018,5,12
2018,6,17
2018,7,10
2018,8,12
2018,9,8
2018,1.5,3
2018,2.5,20
2018,3.5,21
2018,4.5,16
2018,5.5,18
2018,6.5,12
2018,7.5,16
2018,8.5,15
2018,8.5,13
2019,1,4
2019,2,22
2019,3,18
2019,4,18
2019,5,12
2019,6,12
2019,7,10
2019,8,15
2019,9,11
2019,1.5,3
2019,2.5,21
2019,3.5,19
2019,4.5,18
2019,5.5,17
2019,6.5,12
2019,7.5,18
2019,8.5,15
2019,9.5,11
2020,1,4
2020,2,22
2020,3,18
2020,4,18
2020,5,12
2020,6,12
2020,7,13
2020,8,15
2020,9,11
2020,1.5,3
2020,2.5,24
2020,3.5,20
2020,4.5,19
2020,5.5,18
2020,6.5,12
2020,7.5,18
2020,8.5,17
2020,9.5,10
2021,1,3
2021,2,30
2021,3,19
2021,4,20
2021,5,18
2021,6,18
2021,7,12
2021,8,18
2021,9,11
2021,1.5,3
2021,2.5,23
2021,3.5,24
2021,4.5,18
2021,5.5,18
2021,6.5,12
2021,7.5,18
2021,8.5,14
2021,9.5,11
2022,1,6
2022,2,26
2022,3,23
2022,4,24
2022,5,18
2022,6,18
2022,7,18
2022,8,12
2022,9,16
2022,1.5,3
2022,2.5,21
2022,3.5,24
2022,4.5,18
2022,5.5,17
2022,6.5,22
2022,7.5,18
2022,8.5,11
2022,9.5,14
2023,1,3
2023,2,23
2023,3,20
2023,4,18
2023,5,14
2023,6,18
2023,7,17
2023,8,14
2023,9,10
